R Code,LaTex,Variable,Description,Value,Units,,,,,,,,,,,
aRefresh_NH4 = aRefresh_Rate*(aNH4_Ref-sNH4),\lambda_{NH_{4}} = \lambda_{R}(NH_{4 ref}-NH_{4}),$\lambda_{NH_{4}} $,How quickly $NH_{4}$ is resplenished. ,$ \lambda_{R}(NH_{4 ref}-NH_{4})$,d^{-1},,,,,,,,,,,
aRemineralized_NH4 = aRemineralization_Rate*sDetritus*aQ_Min,r_{NH_{4}} = r_{l} \cdot D \cdot \lambda,$r_{NH_{4}} $,Rate of $NH_{4}$ remineralization,$ r_{l} \cdot D \cdot \lambda$,kg N d^{-1},,,,,,,,,,,
"aUptaken_NH4 = aUptake_NH4*aDry_Biomass*max(aHeight/aCult_Depth,1)","U_{NH_{4}} = U_{NH_{4}}'B \cdot max(\frac{z_{m}}{z_{c}},1)",$U_{NH_{4}} $,Rate of $NH_{4}$ uptake into tissues,"$ U_{NH_{4}}'B \cdot max(\frac{z_{m}}{z_{c}},1)$",kg N d^{-1},,,,,,,,,,,
aNitrified_NH4 = aNitrification_Rate*sNH4,\eta_{NH_{4}} = r_(N) \cdot NH_{4},$\eta_{NH_{4}} $,Rate of $NH_{4}$ conversion to $NO_{3}$,$ r_(N) \cdot NH_{4}$,kg N d^{-1},,,,,,,,,,,
aRefresh_NO3 = aRefresh_Rate*(aNO3_Ref-sNO3),\lambda_{NO_{3}} = \lambda_{R}(NO_{3 ref}-NO_{3}),$\lambda_{NO_{3}} $,How quickly $NO_{3}$ is resplenished. ,$ \lambda_{R}(NO_{3 ref}-NO_{3})$,d^{-1},,,,,,,,,,,
"aUptaken_NO3 = aUptake_NO3*aDry_Biomass*max(aHeight/aCult_Depth,1)","U_{NO_{3}} = U_{NO_{3}}'B \cdot max(\frac{z_{m}}{z_{c}},1)",$U_{NO_{3}} $,Rate of $NO_{3}$ uptake into tissues,"$ U_{NO_{3}}'B \cdot max(\frac{z_{m}}{z_{c}},1)$",kg N d^{-1},,,,,,,,,,,
Farming Module,Farming Module,Farming Module,,,,,,,,,,,,,,
harvesting vector,"\bm{H} = \{h_{1},h_{2},\dotso,h_{\Omega}\}",$\bm{H} $,"Proportion of biomass harvested at each time, t","$ \{h_{1},h_{2},\dotso,h_{\Omega}\}$",1,,,,,,,,,,,
aHarvest_Period <- round(365/aHarvest_Freq),H_{p} = \frac{365}{H_{f}},$H_{p} $,Time between harvests,$ \frac{365}{H_{f}}$,days,,,,,,,,,,,
squarewave(t) <- function(t) ,"w(t_{m}) = \begin{cases} 1, & \text{if} \ t_{m} \in \mathbb{Z} \\ 0, & \text{if}  t_{m} \not\in \mathbb{Z} \end{cases} ",$w(t_{m}) $,Equal to 1 on harvest days.,"$ \begin{cases} 1, & \text{if} \ t_{m} \in \mathbb{Z} \\ 0, & \text{if}  t_{m} \not\in \mathbb{Z} \end{cases} $",1,,,,,,,,,,,
